Date,Open,High,Low,Close,Volume,Adj Close
2000-06-28,42.875026,44.000032,42.875026,44.000032,4877700,17.195459
2000-06-27,43.062528,44.312527,42.56253,42.875026,6964700,16.7558
2000-06-26,44.43752,44.87503,42.56253,42.875026,4853800,16.7558
2000-06-23,43.750024,44.43752,43.687536,44.43752,2407000,17.366432
2000-06-22,44.187534,44.250039,43.562522,43.687536,4550600,17.073334
2000-06-21,42.500025,43.937526,42.500025,43.687536,7018200,17.073334
2000-06-20,43.500034,43.875038,42.56253,43.000019,8849700,16.804648
2000-06-19,45.062529,45.750028,44.500026,44.625022,6038500,17.439709
2000-06-16,46.000036,46.437524,44.937535,45.000023,8321100,17.586261
2000-06-15,48.000036,48.125033,45.750028,46.000036,8426900,17.977072
2000-06-14,49.500026,49.687528,47.937531,48.250026,7359100,18.856381
2000-06-13,49.62504,50.437529,49.375032,49.937535,3125900,19.515869
2000-06-12,49.687528,50.625031,49.62504,50.125034,3477900,19.589144
2000-06-09,49.437538,49.875026,48.93754,49.875026,3933700,19.49144
2000-06-08,49.312523,49.875026,48.437529,49.000028,5303000,19.149485
2000-06-07,50.00004,50.00004,49.000028,49.437538,4217900,19.320467
2000-06-06,50.875039,50.875039,49.812538,50.00004,6345100,19.540296
2000-06-05,48.750041,51.562535,48.687536,50.875039,6330300,19.88225
2000-06-02,49.750033,50.687537,47.750029,48.375041,7964100,18.905237
2000-06-01,48.375041,49.750033,47.625036,49.500026,8471400,19.344887
2000-05-31,49.18753,50.00004,48.375041,48.562539,3983300,18.978512
2000-05-30,48.93754,49.250035,48.000036,49.062537,5530000,19.173914
2000-05-26,50.812533,51.000032,47.750029,48.187538,9211400,18.83196
2000-05-25,51.812542,51.812542,50.00004,50.687537,5056200,19.808973
2000-05-24,51.50003,52.875043,51.437542,51.937536,5379600,20.29748
2000-05-23,51.25004,51.375033,50.437529,51.375033,5570900,20.077651
2000-05-22,52.875043,52.937531,50.937527,51.25004,7593700,20.028803
2000-05-19,52.937531,54.625036,52.937531,53.437542,6338800,20.883691
2000-05-18,53.187538,53.812526,52.812534,53.625044,7018700,20.956968
2000-05-17,52.812534,52.812534,52.000045,52.375028,5034900,20.468454
2000-05-16,52.937531,53.750038,52.625035,53.187538,5474500,20.785988
2000-05-15,53.312532,53.312532,51.750037,52.375028,6528700,20.468454
2000-05-12,53.187538,53.687532,53.12503,53.375037,4218100,20.859264
2000-05-11,52.687541,53.625044,52.500039,52.937531,3235500,20.688284
